Date,Views
7/1/2015,20.38
7/2/2015,20.75
7/3/2015,19.57
7/4/2015,20.44
7/5/2015,20.77
7/6/2015,22.54
7/7/2015,21.21
7/8/2015,19.11
7/9/2015,19.99
7/10/2015,20.2
7/11/2015,19.7
7/12/2015,20.23
7/13/2015,20.52
7/14/2015,19.7
7/15/2015,19.56
7/16/2015,19.66
7/17/2015,18.99
7/18/2015,18.36
7/19/2015,18.83
7/20/2015,20.34
7/21/2015,19.74
7/22/2015,19.54
7/23/2015,19.62
7/24/2015,18.64
7/25/2015,19.32
7/26/2015,20.4
7/27/2015,20.16
7/28/2015,19.89
7/29/2015,27.56
7/30/2015,18.5
7/31/2015,17.93
8/1/2015,18.18
8/2/2015,19.41
8/3/2015,18.95
8/4/2015,20.53
8/5/2015,20.25
8/6/2015,20.06
8/7/2015,19.12
8/8/2015,19.44
8/9/2015,19.71
8/10/2015,19.85
8/11/2015,18.37
8/12/2015,19.39
8/13/2015,19.19
8/14/2015,19.45
8/15/2015,19.31
8/16/2015,19.68
8/17/2015,20.31
8/18/2015,20.08
8/19/2015,18.9
8/20/2015,19.09
8/21/2015,18.9
8/22/2015,18.8
8/23/2015,19.89
8/24/2015,20.21
8/25/2015,18.56
8/26/2015,18.09
8/27/2015,17.86
8/28/2015,17.29
8/29/2015,17.84
8/30/2015,18.2
8/31/2015,20.55
9/1/2015,18.08
9/2/2015,18.42
9/3/2015,17.85
9/4/2015,17.48
9/5/2015,17.9
9/6/2015,19
9/7/2015,19.74
9/8/2015,19.65
9/9/2015,18.61
9/10/2015,18.07
9/11/2015,18.56
9/12/2015,18.93
9/13/2015,19.06
9/14/2015,19.22
9/15/2015,19.27
9/16/2015,18.23
9/17/2015,18.2
9/18/2015,17.71
9/19/2015,17.85
9/20/2015,19.61
9/21/2015,20.8
9/22/2015,18.83
9/23/2015,19.59
9/24/2015,17.95
9/25/2015,17.81
9/26/2015,18.1
9/27/2015,18.7
9/28/2015,20.31
9/29/2015,17.54
9/30/2015,19.7
10/1/2015,18.84
10/2/2015,18.54
10/3/2015,18.3
10/4/2015,18.94
10/5/2015,19.28
10/6/2015,18.27
10/7/2015,18.84
10/8/2015,19.05
10/9/2015,18.44
10/10/2015,18.94
10/11/2015,19.12
10/12/2015,20.29
10/13/2015,19.56
10/14/2015,18.8
10/15/2015,18.82
10/16/2015,17.87
10/17/2015,18.04
10/18/2015,19.03
